"sim","scenario","threshold","bayes_method","ert_method","bayes_first_crossing","ert_first_crossing","combined_first_crossing","bayes_only","ert_only","both","neither"
1,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",1793,NA,1793,TRUE,FALSE,FALSE,FALSE
1,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",1793,1807,1793,FALSE,FALSE,TRUE,FALSE
1,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",1793,NA,1793,TRUE,FALSE,FALSE,FALSE
1,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",1793,1807,1793,FALSE,FALSE,TRUE,FALSE
1,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",1793,NA,1793,TRUE,FALSE,FALSE,FALSE
1,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",1793,1807,1793,FALSE,FALSE,TRUE,FALSE
1,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",2690,NA,2690,TRUE,FALSE,FALSE,FALSE
1,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",2690,1807,1807,FALSE,FALSE,TRUE,FALSE
1,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
1,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,1807,1807,FALSE,TRUE,FALSE,FALSE
1,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
1,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,1807,1807,FALSE,TRUE,FALSE,FALSE
1,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
1,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,1807,1807,FALSE,TRUE,FALSE,FALSE
2,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",1793,2082,1793,FALSE,FALSE,TRUE,FALSE
2,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",1793,1479,1479,FALSE,FALSE,TRUE,FALSE
