"sim","scenario","threshold","method","first_crossing","posterior_at_crossing","effect_at_crossing","final_effect","type_m"
1,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",1793,0.989220902389542,0.0513008423436314,0.0424789269319558,1.20767745441891
1,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",1793,0.989220902389542,0.0513008423436314,0.0424789269319558,1.20767745441891
1,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",1793,0.989220902389542,0.0513008423436314,0.0424789269319558,1.20767745441891
1,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",2690,0.990598693101511,0.0424789269319558,0.0424789269319558,1
1,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0424789269319558,NA
1,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0424789269319558,NA
1,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0424789269319558,NA
2,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",1793,0.994716945067271,0.0566265060240965,0.0591099425455253,0.957986145570754
2,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",1793,0.994716945067271,0.0566265060240965,0.0591099425455253,0.957986145570754
2,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",1793,0.994716945067271,0.0566265060240965,0.0591099425455253,0.957986145570754
2,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",1793,0.994716945067271,0.0566265060240965,0.0591099425455253,0.957986145570754
2,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",2690,0.999476025555654,0.0591099425455253,0.0591099425455253,1
2,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",2690,0.999476025555654,0.0591099425455253,0.0591099425455253,1
2,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",2690,0.999476025555654,0.0591099425455253,0.0591099425455253,1
3,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",1793,0.983987390464641,0.0478881336781143,0.0582365948037589,0.822303121250203
3,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",1793,0.983987390464641,0.0478881336781143,0.0582365948037589,0.822303121250203
3,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",2690,0.999324527159411,0.0582365948037589,0.0582365948037589,1
3,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",2690,0.999324527159411,0.0582365948037589,0.0582365948037589,1
3,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",2690,0.999324527159411,0.0582365948037589,0.0582365948037589,1
3,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",2690,0.999324527159411,0.0582365948037589,0.0582365948037589,1
3,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",2690,0.999324527159411,0.0582365948037589,0.0582365948037589,1
4,"Alternative: 35% vs 30%",0.975,"Bayes scheduled Pr(benefit)>0.9750",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
4,"Alternative: 35% vs 30%",0.98,"Bayes scheduled Pr(benefit)>0.9800",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
4,"Alternative: 35% vs 30%",0.985,"Bayes scheduled Pr(benefit)>0.9850",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
4,"Alternative: 35% vs 30%",0.99,"Bayes scheduled Pr(benefit)>0.9900",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
4,"Alternative: 35% vs 30%",0.995,"Bayes scheduled Pr(benefit)>0.9950",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
4,"Alternative: 35% vs 30%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
4,"Alternative: 35% vs 30%",0.999,"Bayes scheduled Pr(benefit)>0.9990",1793,0.999196125235577,0.0698626114524462,0.0623673153471916,1.12017987408195
