"sim","mode","first_crossing","peak","final"
1,"history_naive",15,9.75464221329964e+285,9.75464221329964e+285
1,"practical_naive",NA,1.17032468613215,0.0920890179769254
1,"correct_conditional",NA,1.17275892774659,0.122912324134939
2,"history_naive",14,9.6478760479737e+285,9.6478760479737e+285
2,"practical_naive",NA,1.87494518131261,0.0304264963269241
2,"correct_conditional",NA,5.41811628460568,0.0065293298825336
3,"history_naive",15,9.80356208609588e+285,9.80356208609588e+285
3,"practical_naive",NA,4.85742575258357,0.158127608467844
3,"correct_conditional",NA,2.65739456270779,0.147781454605453
4,"history_naive",14,9.48516772864726e+285,9.48516772864726e+285
4,"practical_naive",NA,1.02672015689637,0.186594383196694
4,"correct_conditional",NA,2.38957877461225,1.59273925762844
5,"history_naive",15,9.66720078233755e+285,9.66720078233755e+285
5,"practical_naive",NA,1.27095933741299,0.191938000194891
5,"correct_conditional",NA,1.25691988877394,0.156000024761641
6,"history_naive",14,9.66720078233759e+285,9.66720078233759e+285
6,"practical_naive",NA,1.21749958996924,0.256091281114669
6,"correct_conditional",NA,1.42676761525552,0.289682664492861
7,"history_naive",14,7.46384898102985e+285,4.97589932068657e+285
7,"practical_naive",NA,1.17428305073365,0.176039223629866
7,"correct_conditional",NA,1.4072634877711,0.553314499169453
8,"history_naive",14,7.15670884193127e+285,4.77113922795418e+285
8,"practical_naive",NA,1.03385109739837,0.205172182343379
8,"correct_conditional",NA,1.09842510215026,0.239816272131713
9,"history_naive",15,7.1710437584043e+285,4.7806958389362e+285
9,"practical_naive",NA,2.76073528213599,0.215405703268688
9,"correct_conditional",NA,2.78775483411121,0.569484138554007
10,"history_naive",15,7.28676159996821e+285,4.85784106664547e+285
10,"practical_naive",NA,3.77796596553887,0.209191785135716
10,"correct_conditional",NA,1.56403306817908,0.131093968961295
11,"history_naive",14,7.39694241274012e+285,4.93129494182675e+285
11,"practical_naive",NA,3.47539229297582,0.979856822726483
11,"correct_conditional",NA,3.88869433228994,1.49770841867145
12,"history_naive",15,9.62858994375374e+285,9.62858994375374e+285
12,"practical_naive",NA,7.73433156044341,0.668479005715285
12,"correct_conditional",NA,2.39152474969505,0.517812688881357
13,"history_naive",14,9.72540754083175e+285,9.72540754083175e+285
13,"practical_naive",NA,1.03901884763045,0.431995711710591
13,"correct_conditional",NA,1.06166717913109,0.876034194879346
14,"history_naive",14,7.20700679434215e+285,4.8046711962281e+285
14,"practical_naive",NA,1.00611684815678,0.210286220880991
14,"correct_conditional",NA,1.02133360419116,0.184672754117064
15,"history_naive",14,7.31598165997473e+285,4.87732110664982e+285
15,"practical_naive",NA,2.23007925674158,1.09540236752927
15,"correct_conditional",NA,1.05380869076089,0.697766265806908
16,"history_naive",14,7.22144245781531e+285,4.81429497187687e+285
16,"practical_naive",NA,3.47108725342045,0.185104716712957
16,"correct_conditional",NA,2.45072160469341,0.540446545676155
17,"history_naive",14,9.71568213329094e+285,9.71568213329094e+285
17,"practical_naive",NA,1.30398513045617,0.138719957858459
17,"correct_conditional",NA,1.34212669449064,0.360138234083621
18,"history_naive",14,7.30135701263644e+285,4.86757134175763e+285
18,"practical_naive",NA,3.59488372114317,0.247695142935807
18,"correct_conditional",1317,153.5724083138,16.7643543611026
19,"history_naive",14,9.58054318369665e+285,9.58054318369665e+285
19,"practical_naive",NA,1.71232531122394,0.283619680269718
19,"correct_conditional",NA,1.48687924337306,0.76867646990969
20,"history_naive",14,7.04305631075847e+285,4.69537087383898e+285
20,"practical_naive",NA,1.29066542833904,1.01458379722768
20,"correct_conditional",NA,1.37714621495324,0.706498004108015
21,"history_naive",15,7.42660430001333e+285,4.95106953334222e+285
21,"practical_naive",NA,1.02488000688548,0.247354558525395
21,"correct_conditional",NA,1.01089549498112,0.367101327316854
22,"history_naive",14,9.85272729376982e+285,9.85272729376982e+285
22,"practical_naive",NA,13.7875568226425,7.14782398983533
22,"correct_conditional",NA,6.08309707758109,2.75624124230853
23,"history_naive",15,9.94184684273178e+285,9.94184684273178e+285
23,"practical_naive",NA,1.34794048727464,0.188785435808304
23,"correct_conditional",NA,1,0.158328215563413
24,"history_naive",15,9.63822817192565e+285,9.63822817192565e+285
24,"practical_naive",NA,3.57505832522277,0.333370366410226
24,"correct_conditional",NA,3.09998215898015,1.06566758946001
25,"history_naive",15,7.12812491819694e+285,4.75208327879796e+285
25,"practical_naive",NA,1.53591775963892,0.168230832536066
25,"correct_conditional",NA,2.54264441496578,0.429267554287612
26,"history_naive",14,9.50416655759594e+285,9.50416655759594e+285
26,"practical_naive",NA,1.29580235019918,0.162181258777789
26,"correct_conditional",NA,1.07624953837621,0.496666938007442
27,"history_naive",14,7.22144245781533e+285,4.81429497187689e+285
27,"practical_naive",2044,25.1339548215446,10.5570057450648
27,"correct_conditional",NA,6.46683730516962,0.616551931689304
28,"history_naive",14,9.93190499588902e+285,9.93190499588902e+285
28,"practical_naive",NA,1.08701801038124,0.228734902216535
28,"correct_conditional",NA,1.03182193792011,0.348126290607415
29,"history_naive",14,9.7059664511576e+285,9.7059664511576e+285
29,"practical_naive",NA,2.04198993144776,0.35713603034036
29,"correct_conditional",NA,1.71164605935521,0.0830248364612888
30,"history_naive",14,9.77418080072027e+285,9.77418080072027e+285
30,"practical_naive",NA,1.78236855860641,0.172635696883439
30,"correct_conditional",NA,2.54770922965916,0.306529552288772
31,"history_naive",14,7.25040058675312e+285,4.83360039116875e+285
31,"practical_naive",NA,3.50314546592732,0.26970503637277
31,"correct_conditional",NA,4.46245859970253,0.343040277210089
32,"history_naive",14,7.21422101535749e+285,4.809480676905e+285
32,"practical_naive",NA,2.55357137661084,1.12883894468862
32,"correct_conditional",NA,4.06580462967551,2.55270830987627
33,"history_naive",14,7.27219536352984e+285,4.84813024235323e+285
33,"practical_naive",NA,7.70509067132395,0.459431925454913
33,"correct_conditional",NA,6.05117797657994,0.289764020185427
34,"history_naive",14,9.74488757108632e+285,9.74488757108632e+285
34,"practical_naive",NA,7.16729144662555,0.268791637587733
34,"correct_conditional",NA,4.67638177084788,0.248811074224084
35,"history_naive",14,7.15670884193129e+285,4.77113922795419e+285
35,"practical_naive",NA,2.41057850642269,1.46424842298915
35,"correct_conditional",NA,1.23001242077709,0.910052406712239
36,"history_naive",15,9.76440661991957e+285,9.76440661991957e+285
36,"practical_naive",NA,3.45417849964838,0.183930339308496
36,"correct_conditional",NA,1.83724414047402,0.290623713355666
37,"history_naive",14,9.64787604797362e+285,9.64787604797362e+285
37,"practical_naive",NA,1.31942885346299,0.221873161461593
37,"correct_conditional",NA,1.27736067674204,0.446012648537828
38,"history_naive",14,9.5997330500637e+285,9.5997330500637e+285
38,"practical_naive",NA,1.14403611193534,0.200312227942062
38,"correct_conditional",NA,1.10711573360417,0.193948998767157
39,"history_naive",14,9.89223692761778e+285,9.89223692761778e+285
39,"practical_naive",NA,5.41350650839044,1.16566011229856
39,"correct_conditional",610,86.1630175419401,30.5216923046723
40,"history_naive",15,7.34531889300734e+285,4.89687926200489e+285
40,"practical_naive",NA,4.18237500757689,0.165303236342587
40,"correct_conditional",NA,3.01467834859594,0.153293387455673
41,"history_naive",15,9.6285899437537e+285,9.6285899437537e+285
41,"practical_naive",NA,1.23044513969356,0.176989745128735
41,"correct_conditional",NA,1.52076761981412,0.547056453203558
42,"history_naive",14,9.65753358155515e+285,9.65753358155515e+285
42,"practical_naive",179,32.0923912438847,0.0990555168914963
42,"correct_conditional",NA,17.9342465576789,0.0649323982556854
43,"history_naive",14,9.69626048470646e+285,9.69626048470646e+285
43,"practical_naive",NA,4.65219527570651,0.108082941767046
43,"correct_conditional",NA,2.95324139575217,0.0336756454834511
44,"history_naive",14,7.32330496493965e+285,4.88220330995977e+285
44,"practical_naive",NA,10.1749819454358,0.800626969397355
44,"correct_conditional",1029,30.8840423467298,12.4165565059974
45,"history_naive",15,7.20700679434212e+285,4.80467119622808e+285
45,"practical_naive",NA,8.08855755866315,1.91154018043722
45,"correct_conditional",NA,2.82121970264277,1.78896663020111
46,"history_naive",14,9.43783664687707e+285,9.43783664687707e+285
46,"practical_naive",NA,1.11380390241663,0.640619942928216
46,"correct_conditional",NA,1.08076733945172,0.504695936565772
47,"history_naive",14,7.27947483836824e+285,4.85298322557883e+285
47,"practical_naive",NA,1.35536207128711,0.664877368366229
47,"correct_conditional",NA,1.78785622177673,0.546910351108799
48,"history_naive",14,9.53273617745242e+285,9.53273617745242e+285
48,"practical_naive",NA,1.76072246287951,0.0888615795391206
48,"correct_conditional",NA,1.27126159756049,0.333924572295062
49,"history_naive",14,7.33063560054019e+285,4.88709040036013e+285
49,"practical_naive",NA,1.31424969834013,0.0920713892336088
49,"correct_conditional",NA,1.28480789902894,0.122667787963629
50,"history_naive",14,9.83303169190957e+285,9.83303169190957e+285
50,"practical_naive",NA,1.76888070638611,0.642544425825798
50,"correct_conditional",1255,41.1147559467769,29.6967254015602
51,"history_naive",14,9.59013331701365e+285,9.59013331701365e+285
51,"practical_naive",NA,1.14059422560138,0.209721602697146
51,"correct_conditional",NA,1.02022904672316,0.20513341377798
52,"history_naive",14,9.47568256091862e+285,9.47568256091862e+285
52,"practical_naive",NA,3.13683033425053,0.226636365420423
52,"correct_conditional",NA,2.23717937641759,0.31203815544168
53,"history_naive",14,9.73514268351523e+285,9.73514268351523e+285
53,"practical_naive",NA,6.56959669338707,0.485936522436236
53,"correct_conditional",NA,6.11503085549383,0.502299657566156
54,"history_naive",14,9.74488757108637e+285,9.74488757108637e+285
54,"practical_naive",NA,1.53367350777078,0.267931073348001
54,"correct_conditional",NA,3.05617904609602,0.528209435685336
55,"history_naive",14,9.85272729376982e+285,9.85272729376982e+285
55,"practical_naive",NA,1.65409368538669,0.146501871082379
55,"correct_conditional",NA,1.28481744163685,0.203508795443382
56,"history_naive",14,9.73514268351531e+285,9.73514268351531e+285
56,"practical_naive",NA,1.1767870893454,0.171772881700814
56,"correct_conditional",NA,1.09454714155785,0.205071673927516
57,"history_naive",14,9.76440661991954e+285,9.76440661991954e+285
57,"practical_naive",NA,1.03082420843985,0.210816129573085
57,"correct_conditional",NA,1.38027049607945,0.717035210566295
58,"history_naive",14,9.68656422422177e+285,9.68656422422177e+285
58,"practical_naive",NA,2.65746210002036,0.421250173906196
58,"correct_conditional",NA,1.7995041862763,0.138889368971875
59,"history_naive",15,9.48516772864725e+285,9.48516772864725e+285
59,"practical_naive",NA,1.06569552729524,0.504417330107715
59,"correct_conditional",NA,1.11832750479412,0.219628674617646
60,"history_naive",14,9.79375852400978e+285,9.79375852400978e+285
60,"practical_naive",NA,1.21911795211807,0.469890987361599
