"p_ctrl","design_arr","actual_arr","target_power","n_patients","actual_frequentist_power","ertb_adaptive_power","ertb_design_power","direction"
0.4,0.05,0.05,0.8,2942,0.80013731150244,0.484,0.7582,"as-designed"
0.4,0.05,0.1,0.8,2942,0.99991037521021,0.9938,0.9996,"as-designed"
0.4,0.05,0.05,0.9,3938,0.900135318773333,0.636,0.8678,"as-designed"
0.4,0.05,0.1,0.9,3938,0.999998291160542,0.9996,1,"as-designed"
0.4,0.1,0.05,0.8,712,0.280007085805916,0.1062,0.2674,"as-designed"
0.4,0.1,0.1,0.8,712,0.800063243131717,0.526,0.7682,"as-designed"
0.4,0.1,0.05,0.9,954,0.35738424430202,0.1566,0.3358,"as-designed"
0.4,0.1,0.1,0.9,954,0.900593640711692,0.6574,0.8562,"as-designed"
0.25,0.05,0.05,0.8,2188,0.800093666004692,0.3952,0.761,"as-designed"
0.25,0.05,0.1,0.8,2188,0.999955314392375,0.9754,0.9996,"as-designed"
0.25,0.05,0.05,0.9,2928,0.90005692614004,0.5208,0.87,"as-designed"
0.25,0.05,0.1,0.9,2928,0.999999356939899,0.9964,1,"as-designed"
0.25,0.1,0.05,0.8,500,0.266845526582752,0.0734,0.2548,"as-designed"
0.25,0.1,0.1,0.8,500,0.800028443875778,0.3634,0.7656,"as-designed"
0.25,0.1,0.05,0.9,670,0.340519661063409,0.101,0.3228,"as-designed"
0.25,0.1,0.1,0.9,670,0.900719928085317,0.496,0.8606,"as-designed"
0.4,0.05,-0.05,0.8,2942,0.783504726136008,0.4828,0,"reversed"
0.4,0.05,-0.1,0.8,2942,0.999775229216981,0.9924,0,"reversed"
0.4,0.05,-0.05,0.9,3938,0.887849585959865,0.631,0,"reversed"
0.4,0.05,-0.1,0.9,3938,0.99999376261624,0.9998,0,"reversed"
0.4,0.1,-0.05,0.8,712,0.270496422101946,0.119,0.0018,"reversed"
0.4,0.1,-0.1,0.8,712,0.765922654560447,0.485,2e-04,"reversed"
0.4,0.1,-0.05,0.9,954,0.345146800676518,0.1562,0.003,"reversed"
0.4,0.1,-0.1,0.9,954,0.874950443093731,0.6386,2e-04,"reversed"
0.25,0.05,-0.05,0.8,2188,0.745382085161031,0.3826,8e-04,"reversed"
0.25,0.05,-0.1,0.8,2188,0.999218176208109,0.9682,0,"reversed"
0.25,0.05,-0.05,0.9,2928,0.857994129427658,0.5102,2e-04,"reversed"
0.25,0.05,-0.1,0.9,2928,0.999963717922253,0.9934,0,"reversed"
0.25,0.1,-0.05,0.8,500,0.239125436511856,0.067,0.0032,"reversed"
0.25,0.1,-0.1,0.8,500,0.685334193005535,0.34,2e-04,"reversed"
0.25,0.1,-0.05,0.9,670,0.304493305155554,0.1042,0.0048,"reversed"
0.25,0.1,-0.1,0.9,670,0.807697229945081,0.4872,8e-04,"reversed"
