"sim","scenario","method","first_crossing","direction","statistic_at_crossing","effect_at_crossing","final_effect","type_m"
1,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.78144962629193,0.0500305259758355,0.0500305259758355,1
1,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.78144962629193,0.0500305259758355,0.0500305259758355,1
1,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.78144962629193,0.0500305259758355,0.0500305259758355,1
1,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0500305259758355,NA
1,"Alternative: 35% vs 30%","e-RTb design directional",2134,"benefit",0.0485607334595172,0.0485607334595172,0.0500305259758355,0.97062208546382
2,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.35732377353505,0.042372313669608,0.042372313669608,1
2,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.35732377353505,0.042372313669608,0.042372313669608,1
2,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.35732377353505,0.042372313669608,0.042372313669608,1
2,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.042372313669608,NA
2,"Alternative: 35% vs 30%","e-RTb design directional",2381,"benefit",0.0478511470395764,0.0478511470395764,0.042372313669608,1.12930219984419
3,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.00263048862472,0.0355842242203262,0.0355842242203262,1
3,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0355842242203262,NA
3,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.00263048862472,0.0355842242203262,0.0355842242203262,1
3,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0355842242203262,NA
3,"Alternative: 35% vs 30%","e-RTb design directional",1020,"benefit",0.0796017214518193,0.0796017214518193,0.0355842242203262,2.23699471313329
4,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",4.06678366728567,0.0894910260111291,0.0921939472741506,0.970682226513374
4,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.68576929689997,0.0828626827085615,0.0921939472741506,0.898786581532935
4,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",4.06678366728567,0.0894910260111291,0.0921939472741506,0.970682226513374
4,"Alternative: 35% vs 30%","e-RTb adaptive",692,"benefit",0.098883092562868,0.098883092562868,0.0921939472741506,1.07255514582564
4,"Alternative: 35% vs 30%","e-RTb design directional",898,"benefit",0.0834536299823896,0.0834536299823896,0.0921939472741506,0.905196408764553
5,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.50332903920868,0.056141006012174,0.0688757338854896,0.81510573964282
5,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.50332903920868,0.056141006012174,0.0688757338854896,0.81510573964282
5,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.7845645775331,0.0688757338854896,0.0688757338854896,1
5,"Alternative: 35% vs 30%","e-RTb adaptive",2266,"benefit",0.0698984184132698,0.0698984184132698,0.0688757338854896,1.01484825598346
5,"Alternative: 35% vs 30%","e-RTb design directional",968,"benefit",0.078879037906353,0.078879037906353,0.0688757338854896,1.14523698633099
6,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0231385409564946,NA
6,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0231385409564946,NA
6,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0231385409564946,NA
6,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0231385409564946,NA
6,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0231385409564946,NA
7,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.37474763477541,0.0425075296209317,0.0425075296209317,1
7,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.37474763477541,0.0425075296209317,0.0425075296209317,1
7,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.37474763477541,0.0425075296209317,0.0425075296209317,1
7,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0425075296209317,NA
7,"Alternative: 35% vs 30%","e-RTb design directional",2235,"benefit",0.0475592508533053,0.0475592508533053,0.0425075296209317,1.11884297387835
8,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0234780325331344,NA
8,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0234780325331344,NA
8,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0234780325331344,NA
8,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0234780325331344,NA
8,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0234780325331344,NA
9,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.84619022564259,0.0855438177361351,0.0819789220434031,1.04348551559198
9,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.84619022564259,0.0855438177361351,0.0819789220434031,1.04348551559198
9,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.84619022564259,0.0855438177361351,0.0819789220434031,1.04348551559198
9,"Alternative: 35% vs 30%","e-RTb adaptive",1359,"benefit",0.0804686078647109,0.0804686078647109,0.0819789220434031,0.981576798754532
9,"Alternative: 35% vs 30%","e-RTb design directional",1225,"benefit",0.0696185997910135,0.0696185997910135,0.0819789220434031,0.84922560648156
10,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.65921150258697,0.0583134120225113,0.0773052819310859,0.754326361224516
10,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.65921150258697,0.0583134120225113,0.0773052819310859,0.754326361224516
10,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",4.29316222500406,0.0773052819310859,0.0773052819310859,1
10,"Alternative: 35% vs 30%","e-RTb adaptive",2009,"benefit",0.0682795218965428,0.0682795218965428,0.0773052819310859,0.88324523487814
10,"Alternative: 35% vs 30%","e-RTb design directional",1612,"benefit",0.058405144199299,0.058405144199299,0.0773052819310859,0.755512983593598
11,"Alternative: 35% vs 30%","OBF two-sided",897,"benefit",3.51698816364844,0.108238045738046,0.0673389498907276,1.60736165196644
11,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",3.51698816364844,0.108238045738046,0.0673389498907276,1.60736165196644
11,"Alternative: 35% vs 30%","Haybittle-Peto",897,"benefit",3.51698816364844,0.108238045738046,0.0673389498907276,1.60736165196644
11,"Alternative: 35% vs 30%","e-RTb adaptive",485,"benefit",0.135707443897099,0.135707443897099,0.0673389498907276,2.01528898382458
11,"Alternative: 35% vs 30%","e-RTb design directional",485,"benefit",0.135707443897099,0.135707443897099,0.0673389498907276,2.01528898382458
12,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.61803247675885,0.0475823788867702,0.0475823788867702,1
12,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.71144556246052,0.0860445460873022,0.0475823788867702,1.80832795880296
12,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.61803247675885,0.0475823788867702,0.0475823788867702,1
12,"Alternative: 35% vs 30%","e-RTb adaptive",750,"benefit",0.105005653494144,0.105005653494144,0.0475823788867702,2.20681806901713
12,"Alternative: 35% vs 30%","e-RTb design directional",720,"benefit",0.0991442835207061,0.0991442835207061,0.0475823788867702,2.08363444283935
13,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.19761872859604,0.071615399930317,0.082469040247678,0.868391334678269
13,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.19761872859604,0.071615399930317,0.082469040247678,0.868391334678269
13,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",4.52604591335637,0.082469040247678,0.082469040247678,1
13,"Alternative: 35% vs 30%","e-RTb adaptive",1178,"benefit",0.0906037847990606,0.0906037847990606,0.082469040247678,1.09863998085768
13,"Alternative: 35% vs 30%","e-RTb design directional",1012,"benefit",0.0786719638106622,0.0786719638106622,0.082469040247678,0.953957552729944
14,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.28644867583579,0.0412443282829622,0.0412443282829622,1
14,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0412443282829622,NA
14,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.28644867583579,0.0412443282829622,0.0412443282829622,1
14,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0412443282829622,NA
14,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0412443282829622,NA
15,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.35314798029541,0.0750660067238516,0.0615232042879507,1.22012511527384
15,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.35314798029541,0.0750660067238516,0.0615232042879507,1.22012511527384
15,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.35314798029541,0.0750660067238516,0.0615232042879507,1.22012511527384
15,"Alternative: 35% vs 30%","e-RTb adaptive",1531,"benefit",0.0817006182638766,0.0817006182638766,0.0615232042879507,1.32796428940028
15,"Alternative: 35% vs 30%","e-RTb design directional",1023,"benefit",0.0786769428387926,0.0786769428387926,0.0615232042879507,1.27881737873334
16,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.87935344495018,0.085939445556784,0.0620998163875623,1.3838921039708
16,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",3.18489673463277,0.0993001049842522,0.0620998163875623,1.59904023491027
16,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.87935344495018,0.085939445556784,0.0620998163875623,1.3838921039708
16,"Alternative: 35% vs 30%","e-RTb adaptive",538,"benefit",0.10347271438696,0.10347271438696,0.0620998163875623,1.66623221139964
16,"Alternative: 35% vs 30%","e-RTb design directional",607,"benefit",0.116605803503094,0.116605803503094,0.0620998163875623,1.87771575322159
17,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.43166590883846,0.054351099066546,0.0297244468816197,1.82849824869759
17,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.43166590883846,0.054351099066546,0.0297244468816197,1.82849824869759
17,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0297244468816197,NA
17,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0297244468816197,NA
17,"Alternative: 35% vs 30%","e-RTb design directional",1768,"benefit",0.0551338802954157,0.0551338802954157,0.0297244468816197,1.85483284230625
18,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0315812287381942,NA
18,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0315812287381942,NA
18,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0315812287381942,NA
18,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0315812287381942,NA
18,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0315812287381942,NA
19,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.69974676284749,0.0593811282439254,0.0496968196047626,1.19486777456147
19,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.69974676284749,0.0593811282439254,0.0496968196047626,1.19486777456147
19,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.76257623248091,0.0496968196047626,0.0496968196047626,1
19,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0496968196047626,NA
19,"Alternative: 35% vs 30%","e-RTb design directional",1097,"benefit",0.0729029073103043,0.0729029073103043,0.0496968196047626,1.46695317507436
20,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0352201549899086,NA
