"scenario","comparison","combined","base_only","ert_only","both","neither","ert_before_base_given_both","base_before_ert_given_both","same_time_given_both"
"Alternative: 35% vs 30%","OBF + adaptive e-RTb",0.8014,0.3428,0.0068,0.4518,0.1986,0.805666223992917,0.193891102257636,0.000442673749446658
"Alternative: 35% vs 30%","OBF + design e-RTb",0.818,0.0694,0.0234,0.7252,0.182,0.995035852178709,0.00330943188086045,0.00165471594043023
"Alternative: 35% vs 30%","Pocock + adaptive e-RTb",0.7252,0.2666,0.0088,0.4498,0.2748,0.622943530457981,0.37661182747888,0.000444642063139173
"Alternative: 35% vs 30%","Pocock + design e-RTb",0.7628,0.0142,0.0464,0.7022,0.2372,0.90487040729137,0.0925662204500142,0.00256337225861578
"Alternative: 35% vs 30%","HP + adaptive e-RTb",0.7978,0.3392,0.009,0.4496,0.2022,0.980427046263345,0.0191281138790036,0.000444839857651246
"Alternative: 35% vs 30%","HP + design e-RTb",0.818,0.0694,0.0292,0.7194,0.182,0.999165971643036,0,0.000834028356964137
"Null: 35% vs 35%","OBF + adaptive e-RTb",0.0788,0.0474,0.0202,0.0112,0.9212,0.875,0.125,0
"Null: 35% vs 35%","OBF + design e-RTb",0.0768,0.0362,0.0182,0.0224,0.9232,1,0,0
"Null: 35% vs 35%","Pocock + adaptive e-RTb",0.0672,0.0358,0.0164,0.015,0.9328,0.76,0.24,0
"Null: 35% vs 35%","Pocock + design e-RTb",0.0672,0.0266,0.0164,0.0242,0.9328,0.892561983471074,0.107438016528926,0
"Null: 35% vs 35%","HP + adaptive e-RTb",0.0746,0.0432,0.021,0.0104,0.9254,1,0,0
"Null: 35% vs 35%","HP + design e-RTb",0.0738,0.0332,0.0202,0.0204,0.9262,1,0,0
