"scenario","method","interrupted_any","interrupted_benefit","interrupted_harm","se_any","median_interruption","q25_interruption","q75_interruption","median_type_m"
"Alternative: 35% vs 30%","OBF two-sided",0.7946,1,0,0.0057133324776351,1793,1793,2690,1
"Alternative: 35% vs 30%","Pocock two-sided",0.7164,1,0,0.00637449668601373,1793,897,2690,1.06567844645878
"Alternative: 35% vs 30%","Haybittle-Peto",0.7888,1,0,0.00577225363268109,2690,2690,2690,1
"Alternative: 35% vs 30%","e-RTb adaptive",0.4586,0.999563890100305,0.000436109899694723,0.00704678706929619,1343,707,1993,1.25638656513267
"Alternative: 35% vs 30%","e-RTb design directional",0.7486,1,0,0.00613511271290104,1282,859,1817.5,1.18946433424263
"Null: 35% vs 35%","OBF two-sided",0.0586,0.51877133105802,0.48122866894198,0.00332162731202644,2690,1793,2690,1
"Null: 35% vs 35%","Pocock two-sided",0.0508,0.515748031496063,0.484251968503937,0.00310545842026584,1793,897,2690,1.63453914144805
"Null: 35% vs 35%","Haybittle-Peto",0.0536,0.529850746268657,0.470149253731343,0.00318518570887162,2690,2690,2690,1
"Null: 35% vs 35%","e-RTb adaptive",0.0314,0.471337579617834,0.528662420382166,0.00246633493264804,421,252,996,5.53486982256114
"Null: 35% vs 35%","e-RTb design directional",0.0406,1,0,0.00279111590586991,1358,832,1953,1.90588784944388
