endpoint,arr,target_power,n_patients,policy,policy_label,wager_arr,true_arr,n_sims,alpha,burn_in,ramp,kelly_fraction,scenario_type,rejection_rate,se,median_crossing,median_final_evalue,median_crossing_effect,median_final_effect,median_type_m,type_m_q75,type_m_q90
e-RTb,0.05,0.8,2942,adaptive,Adaptive half-Kelly,NA,0,5000,0.05,50,100,0.5,null,0.0376,0.0026902133744370537,425.5,0.1907084318216805,0.08286593471847015,-1.0775475468269291e-4,NA,NA,NA
e-RTb,0.05,0.8,2942,under,Design under,0.025,0,5000,0.05,NA,NA,1,null,0.0066,0.001145114841402381,2379,0.36962743712514107,0.06178770275974388,-1.0775475468269291e-4,NA,NA,NA
e-RTb,0.05,0.8,2942,matched,Design matched,0.05,0,5000,0.05,NA,NA,1,null,0.0396,0.0027579644667761766,1275.5,0.017299883330675593,0.06966350272854574,-1.0775475468269291e-4,NA,NA,NA
e-RTb,0.05,0.8,2942,over,Design over,0.1,0,5000,0.05,NA,NA,1,null,0.0464,0.0029747954551531774,408,2.7404578366158986e-8,0.11864900443043194,-1.0775475468269291e-4,NA,NA,NA
e-RTb,0.05,0.8,2942,adaptive,Adaptive half-Kelly,NA,0.05,5000,0.05,50,100,0.5,alternative,0.4826,0.007066784841779181,1459,4.697243637860691,0.0792133565793453,0.04992602866389312,1.5877147043731776,2.1695482431678714,3.1093490136292448
e-RTb,0.05,0.8,2942,under,Design under,0.025,0.05,5000,0.05,NA,NA,1,alternative,0.5546,0.007028781402206217,2111,18.40839204711684,0.06637973275188747,0.04992602866389312,1.3275946550377493,1.5997479528394387,1.925076897198722
e-RTb,0.05,0.8,2942,matched,Design matched,0.05,0.05,5000,0.05,NA,NA,1,alternative,0.751,0.0061155375887978975,1373,50.13325187785584,0.06627393225331363,0.04992602866389312,1.3254786450662726,1.7301925940608935,2.2813052505333644
e-RTb,0.05,0.8,2942,over,Design over,0.1,0.05,5000,0.05,NA,NA,1,alternative,0.5572,0.007024644617345421,739,0.5335485497292132,0.08875500813088524,0.04992602866389312,1.7751001626177048,2.492920936741159,3.442598842987361
e-RTb,0.05,0.8,2942,oracle,Oracle,0.05,0.05,5000,0.05,NA,NA,1,alternative,0.751,0.0061155375887978975,1373,50.13325187785584,0.06627393225331363,0.04992602866389312,1.3254786450662726,1.7301925940608935,2.2813052505333644
e-RTb,0.05,0.9,3938,adaptive,Adaptive half-Kelly,NA,0,5000,0.05,50,100,0.5,null,0.0352,0.0026061834164156595,500,0.16832117003839983,-0.05316807809419111,-3.0410448194309603e-4,NA,NA,NA
e-RTb,0.05,0.9,3938,under,Design under,0.025,0,5000,0.05,NA,NA,1,null,0.0088,0.0013207997577225701,2840,0.26115258994575574,0.052641102196856276,-3.0410448194309603e-4,NA,NA,NA
e-RTb,0.05,0.9,3938,matched,Design matched,0.05,0,5000,0.05,NA,NA,1,null,0.0388,0.0027311008769358926,1455.5,0.004267833708704295,0.06508374649344584,-3.0410448194309603e-4,NA,NA,NA
e-RTb,0.05,0.9,3938,over,Design over,0.1,0,5000,0.05,NA,NA,1,null,0.0462,0.002968688599365046,336,7.236310161334687e-11,0.13098999473407053,-3.0410448194309603e-4,NA,NA,NA
e-RTb,0.05,0.9,3938,adaptive,Adaptive half-Kelly,NA,0.05,5000,0.05,50,100,0.5,alternative,0.6178,0.0068720180442137955,1896,13.590532371868385,0.07080191172208433,0.049449621989678144,1.4189977456733571,1.9210686095932017,2.7576726342711018
e-RTb,0.05,0.9,3938,under,Design under,0.025,0.05,5000,0.05,NA,NA,1,alternative,0.7852,0.005807942148472211,2426,46.89985104919338,0.0593665891151432,0.049449621989678144,1.187331782302864,1.4657256010101916,1.8060311588523965
e-RTb,0.05,0.9,3938,matched,Design matched,0.05,0.05,5000,0.05,NA,NA,1,alternative,0.861,0.004892422712726283,1525,168.6507437855189,0.0622914349276974,0.049449621989678144,1.245828698553948,1.6726965976192698,2.2079072243238556
e-RTb,0.05,0.9,3938,over,Design over,0.1,0.05,5000,0.05,NA,NA,1,alternative,0.6052,0.006912784677682359,838,0.36683416904799837,0.08445377884146488,0.049449621989678144,1.6890755768292975,2.3519978781662503,3.337668855586542
e-RTb,0.05,0.9,3938,oracle,Oracle,0.05,0.05,5000,0.05,NA,NA,1,alternative,0.861,0.004892422712726283,1525,168.6507437855189,0.0622914349276974,0.049449621989678144,1.245828698553948,1.6726965976192698,2.2079072243238556
e-RTb,0.1,0.8,712,adaptive,Adaptive half-Kelly,NA,0,5000,0.05,50,100,0.5,null,0.0214,0.002046560040653584,356,0.3769599652228031,-0.11007444168734487,-3.880726216154984e-4,NA,NA,NA
e-RTb,0.1,0.8,712,under,Design under,0.05,0,5000,0.05,NA,NA,1,null,0.0052,0.0010171489566430279,584,0.3693401855531949,0.12200425689386424,-3.880726216154984e-4,NA,NA,NA
e-RTb,0.1,0.8,712,matched,Design matched,0.1,0,5000,0.05,NA,NA,1,null,0.0388,0.0027311008769358926,337.5,0.014745132600636458,0.13306333791586236,-3.880726216154984e-4,NA,NA,NA
e-RTb,0.1,0.8,712,over,Design over,0.15000000000000002,0,5000,0.05,NA,NA,1,null,0.045,0.0029317230428538097,166,2.9011208371548203e-5,0.18803088803088797,-3.880726216154984e-4,NA,NA,NA
e-RTb,0.1,0.8,712,adaptive,Adaptive half-Kelly,NA,0.1,5000,0.05,50,100,0.5,alternative,0.4962,0.007070863596478156,400,6.546980832312808,0.1466213344666381,0.0993003997840105,1.466213344666381,1.7790347596022262,2.202715355805243
e-RTb,0.1,0.8,712,under,Design under,0.05,0.1,5000,0.05,NA,NA,1,alternative,0.5312,0.007057287864328619,520,17.165799794565178,0.13327002404479557,0.0993003997840105,1.3327002404479558,1.5985444608370742,1.8905611833776095
