endpoint,arr,target_power,n_patients,n_sims,alpha,setting,burn_in,ramp,kelly_fraction,power,se,median_crossing
e-RTb,0.05,0.8,2942,1000,0.05,Default half-Kelly,50,100,0.5,0.473,0.01578831846651188,1391
e-RTb,0.05,0.8,2942,1000,0.05,Short burn-in/ramp,30,50,0.5,0.445,0.015715438269421567,1488
e-RTb,0.05,0.8,2942,1000,0.05,Proportional 5/10%,147,294,0.5,0.526,0.01578999683343857,1546
e-RTb,0.05,0.8,2942,1000,0.05,Quarter-Kelly,50,100,0.25,0.405,0.015523369479594306,1833
e-RTb,0.05,0.8,2942,1000,0.05,Three-quarter Kelly,50,100,0.75,0.386,0.015394934231752989,1191
e-RTb,0.05,0.8,2942,1000,0.05,Full-Kelly,50,100,1,0.264,0.013939296969359681,689
e-RTb,0.1,0.8,712,1000,0.05,Default half-Kelly,50,100,0.5,0.524,0.01579316307773715,387
e-RTb,0.1,0.8,712,1000,0.05,Short burn-in/ramp,30,50,0.5,0.481,0.01579996835439869,364
e-RTb,0.1,0.8,712,1000,0.05,Proportional 5/10%,36,71,0.5,0.527,0.01578831846651188,388
e-RTb,0.1,0.8,712,1000,0.05,Quarter-Kelly,50,100,0.25,0.341,0.01499063040702425,474
e-RTb,0.1,0.8,712,1000,0.05,Three-quarter Kelly,50,100,0.75,0.47,0.015782902141241326,332.5
e-RTb,0.1,0.8,712,1000,0.05,Full-Kelly,50,100,1,0.391,0.015431104950715617,283
