"delta","target_power","N","bettor","power","se","median_first_crossing_patient","pct_of_N","n_sims"
0.2,0.8,788,"Adaptive default (sign; burn 20, ramp 50)",0.0974,0.00419316682234323,65,0.08248730964467,5000
0.2,0.8,788,"Adaptive conservative (Cohen's d; burn 50, ramp 100)",0.5008,0.00707105876089288,400,0.50761421319797,5000
0.2,0.8,788,"Design matched (normal shift)",0.738,0.00621861720963753,408,0.517766497461929,5000
0.2,0.9,1054,"Adaptive default (sign; burn 20, ramp 50)",0.0992,0.00422751369010202,65,0.0616698292220114,5000
0.2,0.9,1054,"Adaptive conservative (Cohen's d; burn 50, ramp 100)",0.6288,0.00683243089976035,486.5,0.46157495256167,5000
0.2,0.9,1054,"Design matched (normal shift)",0.8486,0.0050690835463622,437,0.4146110056926,5000
0.3,0.8,352,"Adaptive default (sign; burn 20, ramp 50)",0.1864,0.00550735943987679,67,0.190340909090909,5000
0.3,0.8,352,"Adaptive conservative (Cohen's d; burn 50, ramp 100)",0.4866,0.00706852799386124,217,0.616477272727273,5000
0.3,0.8,352,"Design matched (normal shift)",0.7128,0.00639868986590224,202,0.573863636363636,5000
0.3,0.9,470,"Adaptive default (sign; burn 20, ramp 50)",0.1788,0.00541905083939983,66,0.140425531914894,5000
0.3,0.9,470,"Adaptive conservative (Cohen's d; burn 50, ramp 100)",0.6338,0.00681318662594824,251,0.534042553191489,5000
0.3,0.9,470,"Design matched (normal shift)",0.8504,0.00504420142341679,221,0.470212765957447,5000
