"dgp","setting","n_patients","n_sims","type1","se","median_peak_wealth","q95_peak_wealth","median_final_wealth"
"Normal","Default (sign; burn 20, ramp 50)",500,5000,0.045,0.00293172304285381,1.7585176521673,17.8434113953594,9.46548009963831e-58
"Normal","Conservative (Cohen's d; burn 50, ramp 100)",500,5000,0.024,0.00216443988135499,1.57922312251768,10.7262492362967,0.332633995752977
"Student's t (df=3)","Default (sign; burn 20, ramp 50)",500,5000,0.041,0.00280424677944007,1.74846273690103,16.5633158201927,3.02979582767762e-77
"Student's t (df=3)","Conservative (Cohen's d; burn 50, ramp 100)",500,5000,0.025,0.00220794021658196,1.56852451440257,10.9311561351001,0.323869681890498
"Lognormal","Default (sign; burn 20, ramp 50)",500,5000,0.0408,0.00279769047608916,1.74826191760123,16.1241180525773,1.07532985972111e-97
"Lognormal","Conservative (Cohen's d; burn 50, ramp 100)",500,5000,0.0238,0.00215562334372218,1.59664287051547,10.1703071350315,0.320050861761187
"Zero-inflated integer","Default (sign; burn 20, ramp 50)",500,5000,0.0426,0.00285605462132642,1.73563176776837,17.1204037384615,1.16528465196948e-84
"Zero-inflated integer","Conservative (Cohen's d; burn 50, ramp 100)",500,5000,0.0258,0.00224206868761865,1.58954140836093,10.9200173873611,0.301895801793317
"Normal","Default policy, c_max=0.4 (sign; burn 20, ramp 50)",500,5000,0.0444,0.00291302729132427,1.80730221334713,16.9929995958403,2.03597106640851e-19
"Normal","Default policy, c_max=0.8 (sign; burn 20, ramp 50)",500,5000,0.0418,0.00283029185774188,1.81875830522053,15.9497403006398,1.56546475207046e-203
"Student's t (df=3)","Default policy, c_max=0.4 (sign; burn 20, ramp 50)",500,5000,0.0478,0.00301712313305241,1.76132249560691,18.9406665413059,4.83999870865404e-21
"Student's t (df=3)","Default policy, c_max=0.8 (sign; burn 20, ramp 50)",500,5000,0.0394,0.00275127752144345,1.72882582776992,15.7519652089771,1.08597111794046e-214
"Lognormal","Default policy, c_max=0.4 (sign; burn 20, ramp 50)",500,5000,0.045,0.00293172304285381,1.80026840669954,17.9439230869678,1.2330490333965e-22
"Lognormal","Default policy, c_max=0.8 (sign; burn 20, ramp 50)",500,5000,0.0392,0.0027445713690848,1.71883066183734,15.1032513043864,1.00375664460451e-196
"Zero-inflated integer","Default policy, c_max=0.4 (sign; burn 20, ramp 50)",500,5000,0.0422,0.00284320804725929,1.79241582702977,16.0242880863328,1.55267621459714e-22
"Zero-inflated integer","Default policy, c_max=0.8 (sign; burn 20, ramp 50)",500,5000,0.0368,0.00266254614983478,1.71251808177334,15.0369141264773,3.89471437979278e-226
