"scenario","method","n","cum_897","cum_1793","cum_2690"
"Alternative: 35% vs 30%","Haybittle-Peto",5000,0.0414,0.165,0.7888
"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",5000,0.1298,0.5466,0.8222
"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",5000,0.0156,0.4304,0.8636
"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",5000,0.0154,0.4014,0.7826
"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",5000,0.0524,0.5434,0.8648
"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",5000,0.0154,0.4014,0.7826
"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",5000,2e-04,0.2972,0.7772
"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",5000,0.0018,0.4454,0.8604
"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",5000,2e-04,0.2972,0.7772
"Alternative: 35% vs 30%","OBF two-sided",5000,0.034,0.4468,0.7946
"Alternative: 35% vs 30%","Pocock two-sided",5000,0.2378,0.518,0.7164
"Alternative: 35% vs 30%","e-RTb adaptive",5000,0.148,0.3078,0.4586
"Alternative: 35% vs 30%","e-RTb design directional",5000,0.205,0.555,0.7486
"Alternative: 35% vs 30%","e-RTb mixture two-sided",5000,0.0972,0.4204,0.644
"Harm: 35% vs 40%","Haybittle-Peto",5000,0.0388,0.1506,0.7716
"Harm: 35% vs 40%","KD rho=1 K5 one-sided a=0.05",5000,2e-04,2e-04,2e-04
"Harm: 35% vs 40%","KD rho=3 K5 one-sided a=0.05",5000,0,0,0
"Harm: 35% vs 40%","LD-OBF K3 one-sided a=0.025",5000,0,0,0
"Harm: 35% vs 40%","LD-OBF K3 one-sided a=0.05",5000,0,0,0
"Harm: 35% vs 40%","LD-OBF K3 two-sided a=0.05",5000,0.014,0.3712,0.7664
"Harm: 35% vs 40%","LD-OBF K5 one-sided a=0.025",5000,0,0,0
"Harm: 35% vs 40%","LD-OBF K5 one-sided a=0.05",5000,0,0,0
"Harm: 35% vs 40%","LD-OBF K5 two-sided a=0.05",5000,2e-04,0.2736,0.7602
"Harm: 35% vs 40%","OBF two-sided",5000,0.0304,0.4144,0.7772
"Harm: 35% vs 40%","Pocock two-sided",5000,0.2198,0.487,0.6944
"Harm: 35% vs 40%","e-RTb adaptive",5000,0.148,0.2982,0.4444
"Harm: 35% vs 40%","e-RTb design directional",5000,0,0,0
"Harm: 35% vs 40%","e-RTb mixture two-sided",5000,0.1026,0.3952,0.614
"Null: 35% vs 35%","Haybittle-Peto",5000,0.001,0.0024,0.0536
"Null: 35% vs 35%","KD rho=1 K5 one-sided a=0.05",5000,0.0104,0.0302,0.0518
"Null: 35% vs 35%","KD rho=3 K5 one-sided a=0.05",5000,6e-04,0.0102,0.0522
"Null: 35% vs 35%","LD-OBF K3 one-sided a=0.025",5000,2e-04,0.0068,0.027
"Null: 35% vs 35%","LD-OBF K3 one-sided a=0.05",5000,6e-04,0.0178,0.0528
"Null: 35% vs 35%","LD-OBF K3 two-sided a=0.05",5000,4e-04,0.0126,0.0522
"Null: 35% vs 35%","LD-OBF K5 one-sided a=0.025",5000,0,0.0038,0.0276
"Null: 35% vs 35%","LD-OBF K5 one-sided a=0.05",5000,0,0.0108,0.0522
"Null: 35% vs 35%","LD-OBF K5 two-sided a=0.05",5000,0,0.0068,0.0516
"Null: 35% vs 35%","OBF two-sided",5000,0.001,0.0168,0.0586
"Null: 35% vs 35%","Pocock two-sided",5000,0.0202,0.0366,0.0508
"Null: 35% vs 35%","e-RTb adaptive",5000,0.023,0.028,0.0314
"Null: 35% vs 35%","e-RTb design directional",5000,0.0118,0.0288,0.0406
"Null: 35% vs 35%","e-RTb mixture two-sided",5000,0.0052,0.0202,0.0332
