"sim","scenario","method","first_crossing","direction","statistic_at_crossing"
1,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.78144962629193
1,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.78144962629193
1,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.78144962629193
1,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.78144962629193
1,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.49539495474526
1,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.78144962629193
1,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.49539495474526
1,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.78144962629193
1,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.49539495474526
1,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.49539495474526
1,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.49539495474526
1,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
1,"Alternative: 35% vs 30%","e-RTb design directional",2134,"benefit",0.0485607334595172
1,"Alternative: 35% vs 30%","e-RTb mixture two-sided",2251,"benefit",0.0531937419313046
2,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",2.35732377353505
2,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
2,"Alternative: 35% vs 30%","e-RTb design directional",2381,"benefit",0.0478511470395764
2,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
3,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
3,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
3,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
3,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.68517324183013
3,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",2.00263048862472
3,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
3,"Alternative: 35% vs 30%","e-RTb design directional",1020,"benefit",0.0796017214518193
3,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
4,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",4.06678366728567
4,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.68576929689997
4,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",4.06678366728567
4,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",4.06678366728567
4,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.90184209617987
4,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",4.06678366728567
4,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.90184209617987
4,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",4.06678366728567
4,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.90184209617987
4,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",538,"benefit",2.41110495623364
4,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1076,"benefit",2.84380974671404
4,"Alternative: 35% vs 30%","e-RTb adaptive",692,"benefit",0.098883092562868
4,"Alternative: 35% vs 30%","e-RTb design directional",898,"benefit",0.0834536299823896
