"scenario","method","crossed_any","crossed_benefit","crossed_harm","se_any","median_crossing","q25_crossing","q75_crossing","expected_stop","n_sims"
"Alternative: 35% vs 30%","OBF two-sided",0.7946,0.7946,0,0.0057133324776351,1793,1793,2690,2258.7564,5000
"Alternative: 35% vs 30%","Pocock two-sided",0.7164,0.7164,0,0.00637449668601373,1793,897,2690,2012.2852,5000
"Alternative: 35% vs 30%","Haybittle-Peto",0.7888,0.7888,0,0.00577225363268109,2690,2690,2690,2504.9006,5000
"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",0.7826,0.7826,0,0.00583330506659818,1793,1793,2690,2316.1458,5000
"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",0.7772,0.7772,0,0.00588489863973884,2152,1614,2690,2188.2612,5000
"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",0.8648,0.8648,0,0.00483572042202607,1793,1793,2690,2155.6198,5000
"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",0.8604,0.8604,0,0.00490126187833297,1614,1614,2152,2002.974,5000
"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",0.7826,0.7826,0,0.00583330506659818,1793,1793,2690,2316.1458,5000
"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",0.7772,0.7772,0,0.00588489863973884,2152,1614,2690,2188.2612,5000
"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",0.8222,0.8222,0,0.00540716487634694,1614,1076,2152,1760.0132,5000
"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",0.8636,0.8636,0,0.00485376225210918,2152,1614,2152,1997.1636,5000
"Alternative: 35% vs 30%","e-RTb adaptive",0.4586,0.4584,2e-04,0.00704678706929619,1343,707,1993,2081.1788,5000
"Alternative: 35% vs 30%","e-RTb design directional",0.7486,0.7486,0,0.00613511271290104,1282,859,1817.5,1693.04,5000
"Alternative: 35% vs 30%","e-RTb mixture two-sided",0.644,0.644,0,0.00677146955985183,1506.5,1081.5,2002.25,1951.5636,5000
"Harm: 35% vs 40%","OBF two-sided",0.7772,0,0.7772,0.00588489863973884,1793,1793,2690,2291.0448,5000
"Harm: 35% vs 40%","Pocock two-sided",0.6944,4e-04,0.694,0.00651473161381188,1793,897,2690,2056.2202,5000
"Harm: 35% vs 40%","Haybittle-Peto",0.7716,0,0.7716,0.00593689211625072,2690,2690,2690,2520.147,5000
"Harm: 35% vs 40%","LD-OBF K3 two-sided a=0.05",0.7664,0,0.7664,0.0059838288745585,2690,1793,2690,2344.4896,5000
"Harm: 35% vs 40%","LD-OBF K5 two-sided a=0.05",0.7602,0,0.7602,0.00603814474818218,2152,1614,2690,2222.8008,5000
"Harm: 35% vs 40%","LD-OBF K3 one-sided a=0.05",0,0,0,0,NA,NA,NA,2690,5000
"Harm: 35% vs 40%","LD-OBF K5 one-sided a=0.05",0,0,0,0,NA,NA,NA,2690,5000
"Harm: 35% vs 40%","LD-OBF K3 one-sided a=0.025",0,0,0,0,NA,NA,NA,2690,5000
"Harm: 35% vs 40%","LD-OBF K5 one-sided a=0.025",0,0,0,0,NA,NA,NA,2690,5000
"Harm: 35% vs 40%","KD rho=1 K5 one-sided a=0.05",2e-04,2e-04,0,0.0001999799989999,538,538,538,2689.5696,5000
"Harm: 35% vs 40%","KD rho=3 K5 one-sided a=0.05",0,0,0,0,NA,NA,NA,2690,5000
"Harm: 35% vs 40%","e-RTb adaptive",0.4444,6e-04,0.4438,0.00702721338796539,1359,676,2029.75,2101.46,5000
"Harm: 35% vs 40%","e-RTb design directional",0,0,0,0,NA,NA,NA,2690,5000
"Harm: 35% vs 40%","e-RTb mixture two-sided",0.614,0,0.614,0.00688482389026764,1508.5,1063.25,2037,1988.8482,5000
"Null: 35% vs 35%","OBF two-sided",0.0586,0.0304,0.0282,0.00332162731202644,2690,1793,2690,2674.0344,5000
"Null: 35% vs 35%","Pocock two-sided",0.0508,0.0262,0.0246,0.00310545842026584,1793,897,2690,2639.0706,5000
"Null: 35% vs 35%","Haybittle-Peto",0.0536,0.0284,0.0252,0.00318518570887162,2690,2690,2690,2686.9512,5000
"Null: 35% vs 35%","LD-OBF K3 two-sided a=0.05",0.0522,0.027,0.0252,0.00314563697841947,2690,2690,2690,2678.3394,5000
"Null: 35% vs 35%","LD-OBF K5 two-sided a=0.05",0.0516,0.0276,0.024,0.00312849612433834,2690,2152,2690,2673.1068,5000
"Null: 35% vs 35%","LD-OBF K3 one-sided a=0.05",0.0528,0.0528,0,0.00316266216975509,2690,1793,2690,2673.4958,5000
"Null: 35% vs 35%","LD-OBF K5 one-sided a=0.05",0.0522,0.0522,0,0.00314563697841947,2152,2152,2690,2667.1888,5000
"Null: 35% vs 35%","LD-OBF K3 one-sided a=0.025",0.027,0.027,0,0.00229220417938717,2690,2241.5,2690,2683.7212,5000
"Null: 35% vs 35%","LD-OBF K5 one-sided a=0.025",0.0276,0.0276,0,0.00231681850821336,2690,2152,2690,2680.4236,5000
"Null: 35% vs 35%","KD rho=1 K5 one-sided a=0.05",0.0518,0.0518,0,0.0031342227106573,1614,1076,2152,2635.7696,5000
"Null: 35% vs 35%","KD rho=3 K5 one-sided a=0.05",0.0522,0.0522,0,0.00314563697841947,2152,2152,2690,2668.5876,5000
"Null: 35% vs 35%","e-RTb adaptive",0.0314,0.0148,0.0166,0.00246633493264804,421,252,996,2628.2032,5000
"Null: 35% vs 35%","e-RTb design directional",0.0406,0.0406,0,0.00279111590586991,1358,832,1953,2636.962,5000
"Null: 35% vs 35%","e-RTb mixture two-sided",0.0332,0.018,0.0152,0.0025336834845734,1655,1125,2104,2654.5284,5000
