"K","sided","alpha","final_boundary","empirical_size","power","expected_n"
1,1,0.05,1.64485362695147,0.0500000000000002,0.869388774291739,2690
2,1,0.05,1.66210658103228,0.0500000000771478,0.867203367390663,2312.32164027763
3,1,0.05,1.69481196254492,0.0500000034210009,0.86369538484095,2149.14025460891
5,1,0.05,1.73970451205969,0.0499999178235235,0.859509188185741,2001.60918639012
10,1,0.05,1.79494418948889,0.0500010019643388,0.855183453053937,1898.01191845763
20,1,0.05,1.83903976529837,0.0500011393959654,0.852446098948308,1847.9218537318
1,2,0.05,1.95996398454005,0.05,0.790569839243722,2690
2,2,0.05,1.96859564632177,0.0499999993503667,0.789075970984982,2478.25131161749
3,2,0.05,1.9930474832654,0.0499999977913139,0.785440160060388,2314.66575079515
5,2,0.05,2.0310320481658,0.0499996961669199,0.780667186999284,2187.2875662208
10,2,0.05,2.08117575198412,0.049993926574172,0.775460298767022,2094.16591703857
20,2,0.05,2.12282944470644,0.0500269571810471,0.772067504989308,2048.87553930648
