"rule","stop_rate","via_confirmed_alert","via_scheduled_gs","alert_fired","alert_unconfirmed","alert_won_median_lead","alert_won_vs_no_gs_stop","scenario"
"Repair A z>=3.0",0.7844,0.0708,0.7136,0.7486,0.6778,1317,0.0018,"Alternative: 35% vs 30%"
"Repair A z>=2.5",0.8002,0.462,0.3382,0.7486,0.2862,945,0.0176,"Alternative: 35% vs 30%"
"Repair B W>=100 (+GS a=0.04)",0.7576,0.4118,0.3458,0.5036,NA,NA,NA,"Alternative: 35% vs 30%"
"Repair B W>=200 (+GS a=0.045)",0.7696,0.2366,0.533,0.3882,NA,NA,NA,"Alternative: 35% vs 30%"
"Repair A z>=3.0",0.056,0.0048,0.0512,0.0406,0.0358,1178,0.0038,"Null: 35% vs 35%"
"Repair A z>=2.5",0.0666,0.023,0.0436,0.0406,0.0176,878,0.0144,"Null: 35% vs 35%"
"Repair B W>=100 (+GS a=0.04)",0.0428,0.0036,0.0392,0.0054,NA,NA,NA,"Null: 35% vs 35%"
"Repair B W>=200 (+GS a=0.045)",0.0472,0.0014,0.0458,0.003,NA,NA,NA,"Null: 35% vs 35%"
"Repair A z>=3.0",0.7664,0,0.7664,0,0,NA,0,"Harm: 35% vs 40%"
"Repair A z>=2.5",0.7664,0,0.7664,0,0,NA,0,"Harm: 35% vs 40%"
"Repair B W>=100 (+GS a=0.04)",0.7374,0,0.7374,0,NA,NA,NA,"Harm: 35% vs 40%"
"Repair B W>=200 (+GS a=0.045)",0.752,0,0.752,0,NA,NA,NA,"Harm: 35% vs 40%"
